=== 总体概览 ===
指标,数值
监测学校总数,855所
平均总分,41.43分
中位数总分,42.0分
最低得分,35分
最高得分,44分
标准差,1.58
综合得分率,94.1%
满分学校数,72所
≥40分学校数,752所

=== 按学校类型统计 ===
学校类型,学校数,平均分,中位数,标准差,得分率
九年制,95所,41.94分,42.0分,1.34,95.2%
初中,229所,41.54分,42.0分,1.59,94.3%
小学,531所,41.29分,41.0分,1.6,93.8%

=== 按城乡区域统计 ===
区域类型,学校数,平均分,中位数,标准差,得分率
农村,147所,40.96分,41.0分,1.42,93.0%
县镇,272所,41.64分,42.0分,1.51,94.5%
城市,436所,41.46分,42.0分,1.65,94.2%

=== 44项监测指标明细 ===
指标编码,指标名称,所属维度,平均得分率,中位数得分率,标准差,不达标学校数,不达标占比,达标学校数
得分率,综合得分率,,94.1%,95.0%,0.036,783所,91.6%,72所
A1.1得分率,班级数与班额数,A类-管理安全,99.9%,100.0%,0.034,1所,0.1%,854所
A1.2得分率,单一校区学生总数,A类-管理安全,97.8%,100.0%,0.147,19所,2.2%,836所
A2.1得分率,卫生保健室配置,A类-管理安全,99.9%,100.0%,0.034,1所,0.1%,854所
A2.2.1得分率,食堂等级达标,A类-管理安全,97.9%,100.0%,0.144,18所,2.1%,837所
A2.2.2得分率,校内小卖部/超市达标,A类-管理安全,99.9%,100.0%,0.034,1所,0.1%,854所
A2.3.1得分率,饮用水供水与卫生,A类-管理安全,100.0%,100.0%,0.000,0所,0.0%,855所
A2.3.2得分率,学校厕所卫生,A类-管理安全,100.0%,100.0%,0.000,0所,0.0%,855所
A3.1.2得分率,校园出入口安全措施,A类-管理安全,100.0%,100.0%,0.000,0所,0.0%,855所
A3.1.1得分率,校园危房情况,A类-管理安全,99.9%,100.0%,0.034,1所,0.1%,854所
A3.2.1得分率,安全保卫人员配备,A类-管理安全,97.9%,100.0%,0.144,18所,2.1%,837所
A3.2.2得分率,专职宿舍管理员配备,A类-管理安全,100.0%,100.0%,0.000,0所,0.0%,855所
B1.2-①生均校舍建筑面积得分率,生均校舍建筑面积,B类-硬件环境,97.1%,100.0%,0.169,25所,2.9%,830所
B1.2-②生均用地面积得分率,生均用地面积,B类-硬件环境,88.5%,100.0%,0.319,98所,11.5%,757所
B2.1-①校园办公用房面积得分率,行政办公用房达标,B类-硬件环境,91.2%,100.0%,0.283,75所,8.8%,780所
B2.1-②校园生活服务用房得分率,生活用房达标,B类-硬件环境,85.9%,100.0%,0.349,121所,14.2%,734所
B2.1-③住宿生床位配备得分率,住宿生床位配备,B类-硬件环境,100.0%,100.0%,0.000,0所,0.0%,855所
B3.1-①生均图书册数得分率,生均图书册数,B类-硬件环境,99.0%,100.0%,0.102,9所,1.1%,846所
B3.2-①图书资源配备得分率,图书馆/阅览室达标,B类-硬件环境,99.7%,100.0%,0.059,3所,0.4%,852所
B4.1-①教学仪器设备配备得分率,教学仪器设备配备,B类-硬件环境,100.0%,100.0%,0.000,0所,0.0%,855所
B4.2-①音体美器材配备情况得分率,音体美器材配备,B类-硬件环境,100.0%,100.0%,0.000,0所,0.0%,855所
B5.1-①无线网覆盖得分率,无线网覆盖,B类-硬件环境,100.0%,100.0%,0.000,0所,0.0%,855所
B5.1-②师机比得分率,师机比,B类-硬件环境,91.2%,100.0%,0.283,75所,8.8%,780所
B5.1-③生机比得分率,生机比,B类-硬件环境,65.1%,100.0%,0.477,298所,34.9%,557所
B6.1-①体育运动场(馆)得分率,体育运动场(馆),B类-硬件环境,100.0%,100.0%,0.000,0所,0.0%,855所
B6.1-②篮、排球场地得分率,篮/排球场地,B类-硬件环境,98.6%,100.0%,0.118,12所,1.4%,843所
B6.1-③跑道长度得分率,跑道长度,B类-硬件环境,98.7%,100.0%,0.113,11所,1.3%,844所
B7.1-①生均绿地面积得分率,生均绿地面积,B类-硬件环境,92.8%,100.0%,0.260,62所,7.3%,793所
B1.1-②普通教室数得分率,普通教室数,B类-硬件环境,100.0%,100.0%,0.000,0所,0.0%,855所
B1.1-①得分率,教学用房通风采光照明,B类-硬件环境,100.0%,100.0%,0.000,0所,0.0%,855所
B1.1-③专用教室面积得分率,专用教室面积,B类-硬件环境,80.3%,100.0%,0.398,168所,19.6%,687所
B1.1-④公共教学用房得分率,公共教学用房,B类-硬件环境,47.8%,0.0%,0.500,446所,52.2%,409所
C1.1-①得分率,学校教职工数达标,C类-师资发展,84.4%,100.0%,0.363,133所,15.6%,722所
C1.3-①得分率,县级及以上骨干教师,C类-师资发展,98.5%,100.0%,0.122,13所,1.5%,842所
C2.1-①得分率,教师资格证书,C类-师资发展,91.3%,100.0%,0.281,74所,8.7%,781所
C3.1-①得分率,专任教师培训时间,C类-师资发展,100.0%,100.0%,0.000,0所,0.0%,855所
C3.2-①得分率,教师培训经费,C类-师资发展,100.0%,100.0%,0.000,0所,0.0%,855所
C4.1-①得分率,体育艺术专任教师,C类-师资发展,86.9%,100.0%,0.338,112所,13.1%,743所
C5.1-①得分率,心理健康教师配备,C类-师资发展,98.6%,100.0%,0.118,12所,1.4%,843所
C5.2-①得分率,专职校医/保健人员,C类-师资发展,100.0%,100.0%,0.000,0所,0.0%,855所
C6.1-①得分率,学生体育活动达标,C类-师资发展,100.0%,100.0%,0.000,0所,0.0%,855所
C6.2-①得分率,体质健康测试达标,C类-师资发展,98.2%,100.0%,0.131,15所,1.8%,840所
C2.3-①得分率,中高级职称教师比例,C类-师资发展,76.8%,100.0%,0.422,198所,23.2%,657所
C2.2-①得分率,专任教师学历,C类-师资发展,93.9%,100.0%,0.239,52所,6.1%,803所
C1.2-①得分率,学校生师比,C类-师资发展,85.3%,100.0%,0.355,126所,14.7%,729所

=== 总分分布 ===
分数,学校数
35分,1所
37分,9所
38分,24所
39分,69所
40分,128所
41分,180所
42分,212所
43分,160所
44分,72所

=== 三大维度 × 学校类型 得分率 ===
维度,小学,初中,九年制
A类-管理安全,99.3%,99.4%,99.6%
B类-硬件环境,90.8%,93.2%,93.8%
C类-师资发展,93.9%,92.0%,93.9%

=== 城乡 × 指标交叉分析 ===
指标,城市得分率,县镇得分率,农村得分率
A1.1得分率,100.0%,99.6%,100.0%
A1.2得分率,98.2%,96.0%,100.0%
A2.1得分率,100.0%,99.6%,100.0%
A2.2.1得分率,96.3%,99.3%,100.0%
A2.2.2得分率,100.0%,99.6%,100.0%
A2.3.1得分率,100.0%,100.0%,100.0%
A2.3.2得分率,100.0%,100.0%,100.0%
A3.1.1得分率,99.8%,100.0%,100.0%
A3.1.2得分率,100.0%,100.0%,100.0%
A3.2.1得分率,97.5%,98.2%,98.6%
A3.2.2得分率,100.0%,100.0%,100.0%
B1.1-①得分率,100.0%,100.0%,100.0%
B1.1-②普通教室数得分率,100.0%,100.0%,100.0%
B1.1-③专用教室面积得分率,89.7%,78.7%,55.8%
B1.1-④公共教学用房得分率,56.4%,46.7%,24.5%
B1.2-①生均校舍建筑面积得分率,96.3%,97.8%,98.0%
B1.2-②生均用地面积得分率,83.9%,90.4%,98.6%
B2.1-①校园办公用房面积得分率,92.9%,94.5%,80.3%
B2.1-②校园生活服务用房得分率,82.6%,91.9%,84.4%
B2.1-③住宿生床位配备得分率,100.0%,100.0%,100.0%
B3.1-①生均图书册数得分率,98.9%,98.9%,99.3%
B3.2-①图书资源配备得分率,99.8%,99.3%,100.0%
B4.1-①教学仪器设备配备得分率,100.0%,100.0%,100.0%
B4.2-①音体美器材配备情况得分率,100.0%,100.0%,100.0%
B5.1-①无线网覆盖得分率,100.0%,100.0%,100.0%
B5.1-②师机比得分率,92.0%,89.3%,92.5%
B5.1-③生机比得分率,54.4%,75.4%,78.2%
B6.1-①体育运动场(馆)得分率,100.0%,100.0%,100.0%
B6.1-②篮、排球场地得分率,97.2%,100.0%,100.0%
B6.1-③跑道长度得分率,97.5%,100.0%,100.0%
B7.1-①生均绿地面积得分率,90.1%,94.5%,97.3%
C1.1-①得分率,91.5%,81.2%,69.4%
C1.2-①得分率,83.7%,84.6%,91.2%
C1.3-①得分率,97.7%,99.6%,98.6%
C2.1-①得分率,89.7%,92.3%,94.6%
C2.2-①得分率,94.0%,93.4%,94.6%
C2.3-①得分率,79.4%,77.9%,67.3%
C3.1-①得分率,100.0%,100.0%,100.0%
C3.2-①得分率,100.0%,100.0%,100.0%
C4.1-①得分率,88.1%,88.6%,80.3%
C5.1-①得分率,99.3%,98.9%,95.9%
C5.2-①得分率,100.0%,100.0%,100.0%
C6.1-①得分率,100.0%,100.0%,100.0%
C6.2-①得分率,99.1%,97.8%,96.6%
